text,label,source,page
Буданов «опублікував адреси та контакти членів МОК» після дискваліфікації українського скелетоніста,1,stopfake,7
Україна «тестувала ядерну зброю» напередодні Мюнхенської конференції з безпеки,1,stopfake,7
Українці у Франції розбивають каси самообслуговування McDonald’s через бургер «СВО»,1,stopfake,8
"Київ «провалив переговори в Мюнхені щодо грошей та зброї, — Der Spiegel»",1,stopfake,8
Зеленському відмовили в трансляції відеозвернення під час Зимової Олімпіади в Італії,1,stopfake,8
У Німеччини закінчилися запаси зброї для поставок Україні — Пісторіус,1,stopfake,8
На шоломі українського спортсмена Владислава Гераскевича – терористична символіка та портрети військових,1,stopfake,8
"Київ «здійснює примусову мобілізацію серед етнічних угорців, — InfoBRICS»",1,stopfake,8
"Французька преса звинувачує Макрона в тому, що він не зупинив війну в Україні",1,stopfake,8
"Відеофейк: Українці скаржаться на нелегітимність Зеленського, закликають будь-якою ціною закінчувати війну та тікати з",1,stopfake,8
"Українці продають в онлайн-магазинах генератори, передані з Польщі та Грузії",1,stopfake,8
Усі українські дрони і ракети «насправді» виробляють у Польщі,1,stopfake,8
Київ «зумисно влаштував блекаут» у Молдові,1,stopfake,9
Іспанська поліція розшукує п’ятьох українців за теракт на залізниці — відео Euronews,1,stopfake,9
У Києві підсвітили монумент «Батьківщина-мати» у кольори прапора Великої Британії «за рахунок ресурсів,1,stopfake,9
Міністр оборони Італії «відмовив Києву в перемозі над Росією»,1,stopfake,9
Українські біженці у Франції були залучені у 80% спроб організувати терористичні акти —,1,stopfake,9
Військовий підпалив пенсіонерів за російську мову,1,stopfake,9
НАТО видалили зі свого сайту інформацію про атаки на енергосистеми Сербії в 1999,1,stopfake,9
Молодь європейських країн готова проголосувати за вихід з Євросоюзу,1,stopfake,9
"У Франції масово ґвалтують українок, але жодна справа не дійшла до суду",1,stopfake,9
Світові ЗМІ повідомили про масові злочини українських біженців у Франції,1,stopfake,9
"Німеччина «більше не постачатиме Україні системи ППО», — Борис Пісторіус",1,stopfake,10
"Поки українці сидять без світла і тепла, «режим Зеленського продає електрику в ЄС»",1,stopfake,10
Відеофейк: Військові «прийшли на розбірки» у Верховну Раду,1,stopfake,10
Рішення виділити Києву €90 млрд суперечить інтересам Євросоюзу — Кулеба,1,stopfake,10
"Фінляндія визнала, що членство в НАТО було помилкою",1,stopfake,10
Єврокомісія витратить 7 мільярдів євро на пропаганду і ботоферми,1,stopfake,10
Міста Литви на межі «каналізаційного колапсу» через допомогу Україні,1,stopfake,10
"ISW опублікував «рейтинг смертності» іноземців, які воюють за Україну",1,stopfake,10
У Франції підготували резолюцію щодо НАТО та заговорили про вихід із ЄС,1,stopfake,10
Україна та Молдова узгоджено запровадили повну блокаду Придністров’я,1,stopfake,10
Порнографія з українськими дітьми становила понад половину контенту на ліквідованому сайті Kidflix,1,stopfake,11
Очільник «Репортерів без кордонів» закликав Трампа провести операцію проти Макрона за розкрадання американської,1,stopfake,11
Виступ Зеленського у Давосі скасували організатори Форуму,1,stopfake,11
У Броварах міська влада вручила вдові загиблого військового похідний котел,1,stopfake,11
Данія попросила Україну повернути військову допомогу,1,stopfake,11
Українці в Європі масово заробляють на продажу згенерованого ШІ еротичного контенту,1,stopfake,11
НАБУ «викрило корупційну схему» навколо закупівлі 100 винищувачів Rafale,1,stopfake,11
"«Заради припинення ударів по енергетиці українці готові “віддати” Донбас, — New York Times»",1,stopfake,11
Європа депортує 40 тисяч українців призовного віку протягом двох місяців,1,stopfake,11
"Україна витратила 120 мільйонів доларів на роботів, які проводять фіззарядку для військових –",1,stopfake,11
"Українці радіють у соцмережах через пожежу у барі в Швейцарії, яка вбила десятки",1,stopfake,12
«Потужність» російського Орєшніка «спричинила землетрус» у Львівській області,1,stopfake,12
Під час затримань ТЦК постраждали тисячі – DW,1,stopfake,12
"Le Figaro повідомило, що кредит Україні – це «подарунок корумпованій верхівці»",1,stopfake,12
Українці планують 18 січня «вийти на Майдан» проти ТЦК,1,stopfake,12
Україна через втрати на фронті масово «жене жінок на забій»,1,stopfake,12
Європейці залишаться без пенсій через допомогу українським біженцям – Euronews,1,stopfake,12
Україна споруджує на румунському кордоні бетонну стіну від «ухилянтів»,1,stopfake,12
Військовий ЗСУ «намагався вивезти за кордон давню ікону»,1,stopfake,12
"Європейські політики планують серію провокацій, щоб звинуватити у них Росію — Інститут вивчення",1,stopfake,12
"«В інтересах Польщі підбурювати подальше взаємне винищення росіян та українців», — польська Gazeta",1,stopfake,13
Українці організували в Берліні святкування дня народження Степана Бандери,1,stopfake,13
В Україні запровадили систему штрафних балів для водіїв — відбиратимуть права,1,stopfake,13
В Україну ввозилося відпрацьоване ядерне паливо для створення брудної бомби — Міноборони РФ,1,stopfake,13
Нова радниця Зеленського Христя Фріланд – онука «нацистського пособника»,1,stopfake,13
"Фрідріх Мерц заявив, що «треба повністю закрити кордони України», аби молоді чоловіки залишалися",1,stopfake,13
"У Польщі створили безпілотник для збирання тіл, «щоб заробити на Україні»",1,stopfake,13
Рейтинги європейських лідерів обвалилися після вторгнення США у Венесуелу,1,stopfake,13
"Памела Андерсон заявила, що в резиденції Зеленського запаси кокаїну більші, ніж у Венесуелі",1,stopfake,13
"Кожна четверта шведка стає жертвою згвалтування, а уряд країни зосереджений тільки на допомозі",1,stopfake,13
"В Одеському порту затримали партію наркотиків, схованих всередині іграшок у вигляді пса Патрона",1,stopfake,14
В Україні розпочалася «автоматична мобілізація» 17-річних,1,stopfake,14
Одеса і Миколаїв «створювалися російськими людьми» — Лавров,1,stopfake,14
ЄС більше року використовує заморожені російські активи — Bellingcat,1,stopfake,14
В Україні «штрафують дітей за російську мову» на перервах,1,stopfake,14
Україна «обманом завербувала» 17 найманців із ПАР,1,stopfake,14
Українські військові масово «мародерять» будинки мешканців Лиману,1,stopfake,14
"Нідерланди розіслали громадянам інструкцію російською мовою про те, як здаватися в полон",1,stopfake,14
В Одесі «прикрили» пам’ятник Рішельє «через непатріотичність»,1,stopfake,14
В Україні «заборонили музичні твори російською мовою»,1,stopfake,14
Членство України в НАТО більше не обговорюється – Кая Каллас,1,stopfake,15
Під час хвилини мовчання на Київщині увімкнули звук кремлівських курантів,1,stopfake,15
Лувр побачив «російський слід» у підтопленні єгипетської колекції,1,stopfake,15
Росія ніколи не обстрілювала Свято-Михайлівський храм у Покровську,1,stopfake,15
"Україна готова «відмовитися від значної частини своєї території на невизначений термін, – BILD»",1,stopfake,15
Антикорупційні органи «знайшли» у Єрмака офшори та паспорти для втечі,1,stopfake,15
Прем’єр-міністерка Італії Джорджа Мелоні закликала Зеленського капітулювати,1,stopfake,15
"МЗС України переплутало Австралію з Австрією, висловлюючи співчуття жертвам теракту в Сіднеї",1,stopfake,15
Ексочільник МЗС Кулеба «визнав поразку України» і закликав укласти мир за будь-яку ціну,1,stopfake,15
Відео Зеленського з-під Куп’янська знято на хромакеї,1,stopfake,15
Зеленський занизив утричі кількість загиблих у ЗСУ ірландців,1,stopfake,16
Україна домоглася від ООН лише перейменування Чорнобиля,1,stopfake,16
«Апокаліптичні» фото блекауту в Одесі після російського обстрілу,1,stopfake,16
"Зеленський готовий на вимогу США провести вибори, тільки якщо український уряд сам рахуватиме",1,stopfake,16
"Україна «приховує злочини» Волинської трагедії, «блокуючи ексгумацію польських жертв»",1,stopfake,16
Україна «вчинила терористичну атаку на мирне морське судно Dashan»,1,stopfake,16
Українцям пропонують дрова за оформлення кредитної картки,1,stopfake,16
Європейські лідери перебільшують «російську загрозу» для тиску на громадську думку – FT,1,stopfake,16
У Європі визнали «перелом війни» на користь Росії – The Telegraph,1,stopfake,16
«Режим Зеленського відріже мільйони пенсіонерів від виплат»,1,stopfake,16
В Україні продали бойові кораблі «за копійки»,1,stopfake,17
Українських військових нагородили за службу бонусами в онлайн-казино,1,stopfake,17
Володимир Зеленський придбав таунхаус Білла Косбі у Нью-Йорку за $30 млн,1,stopfake,17
Німеччина закликала Китай вплинути на «умиротворення України»,1,stopfake,17
У Львові російськомовну дитину залишили без подарунка на День Святого Миколая,1,stopfake,17
Вашингтон припинив допомогу Україні через корупцію — Білий дім,1,stopfake,17
"Командир ЗСУ погрожує повалити Зеленського, якщо той підпише «капітуляцію»",1,stopfake,17
Убитий у Львові військовий ТЦК «не служив в АТО і взагалі не воював»,1,stopfake,17
"«Війна київського режиму вбила 300 дітей», – дані «офіційної комісії»",1,stopfake,17
Франція планує створити ПВК для відправки в Україну,1,stopfake,17
Українські залізниці перейшли на паротяги через брак поїздів,1,stopfake,18
«Європа проти миру в Україні — опитування»,1,stopfake,18
"Серед найпопулярніших пошукових запитів солдатів ЗСУ — «виступ Путіна», «способи самогубства» і «онлайн-казино»",1,stopfake,18
Паризький рабин назвав Володимира Зеленського та його оточення «найдурнішими євреями на світі»,1,stopfake,18
Падіння російського дрона в Молдові виявилося постановним,1,stopfake,18
Американці таємно створюють армію заражених комах-убивць,1,stopfake,18
В Україні створили «Армію відновлення» для «вічної мобілізації» у мирний час,1,stopfake,18
У Чернівцях «солдат із 82 ОДШБр вистрілив у пенсіонера через російську мову»,1,stopfake,18
У Києві відкрили виставку «ненависті до православ’я»,1,stopfake,18
Україна «запроваджує податок на колодязі» – селян «змусять встановити лічильники» на воду,1,stopfake,18
ЮНЕСКО «не помічає» руйнування культурно-історичної спадщини України,1,stopfake,19
Україна «заборонила» евакуацію Костянтинівки,1,stopfake,19
2026 року в України закінчаться гроші на зарплати військовим,1,stopfake,19
Німеччина насильно повертає українців на війну,1,stopfake,19
"Щоб «прибрати свідків» корупційної схеми, український уряд інсценізував самогубство відомого криптотрейдера – Le",1,stopfake,19
Україна вербує південнокорейців до ЗСУ,1,stopfake,19
Українські військові вчиняють самогубства через погрози ТЦК на адресу їхніх сімей — «європейські,1,stopfake,19
В Україні до 2030 року з’являться 10 млн іммігрантів — законопроєкт,1,stopfake,19
Шон Пенн відмовився від поїздки в Україну через корупційний скандал,1,stopfake,19
Житловий будинок у Тернополі «став жертвою української ракети ППО»,1,stopfake,19
"В Україні планують ухвалити закон, щоб не віддавати Росії військовополонених",1,stopfake,20
"Україна намагалася підкупити Інститут дослідження війни, щоб той написав про «фейкові успіхи» ЗСУ",1,stopfake,20
Польща звинуватила Україну в підриві залізниці,1,stopfake,20
НАТО «безсиле» перед російським «Орєшніком» і «Посейдоном» – Welt,1,stopfake,20
Португалія готується депортувати 60 000 українців,1,stopfake,20
МОЗ України запровадив «обов’язкове загартовування для дітей віком до 6 років» через відключення,1,stopfake,20
Франція «звинуватила Росію у поширенні клопів»,1,stopfake,20
В Україні запропонували «чипувати» солдатів для боротьби з дезертирством,1,stopfake,20
Фотофейк: По всій Україні наростає хвиля мітингів проти влади,1,stopfake,20
"У школах Кривого Рогу карають дітей, чиї батьки-військові самовільно залишили місце служби",1,stopfake,20
Через інфляцію в Україні з’явиться п’ятитисячна купюра – відео,1,stopfake,21
Українська діаспора в Канаді підтримала «жорстку мобілізацію»,1,stopfake,21
США «запровадили санкції проти України» через Іран,1,stopfake,21
The Sun і Charlie Hebdo «повідомили» про вимагання грошей у Анджеліни Джолі під,1,stopfake,21
Німеччина виділила 40 мільйонів євро Україні на «заміну розкрадених коштів»,1,stopfake,21
Антиросійська політика «добила» один із найстаріших заводів у Франції,1,stopfake,21
У ЗСУ епідемія СНІД через заражену кров — Le Parisien,1,stopfake,21
"Створення Спецтрибуналу щодо України під загрозою через те, що Москва відмовляється сплачувати внесок",1,stopfake,21
У Франції «визнали» військову перевагу Росії над країнами ЄС,1,stopfake,21
В Україні узаконили конфіскацію квартир за борги за комуналку,1,stopfake,21
Польща сплачуватиме борги України до 2068 року,1,stopfake,22
Пам’ятник Пушкіну в Одесі не можна зносити через його статус об’єкта ЮНЕСКО,1,stopfake,22
Європейських журналістів змушують брехати про ситуацію ЗСУ у Покровську — RSF,1,stopfake,22
Західні ЗМІ дають завищені рейтинги Україні для вступу до Євросоюзу,1,stopfake,22
Українська влада відправляє на фронт 17-річних юнаків для оборони Покровська – західні ЗМІ,1,stopfake,22
Зеленський «бреше про блекаути» в Україні «заради європейських грошей»,1,stopfake,22
Відеофейк: Українські військові погрожують дружині Чарлі Кірка,1,stopfake,22
Мешканці Дніпра тепер не зможуть застрахувати своє майно – через «просування російських військ»,1,stopfake,22
Французький журнал Charlie Hebdo «висміяв» допомогу Макрона Україні та бої за Покровськ,1,stopfake,22
Знімання та поширення відео з працівниками ТЦК прирівняють до держзради,1,stopfake,22
Україна не вступить до ЄС — Єврокомісія,1,stopfake,23
"Урсула фон дер Ляєн покинула засідання Єврокомісії після того, як Орбан звинуватив її",1,stopfake,23
"Україна «продає в Європі» західну зброю, отриману в рамках військової допомоги",1,stopfake,23
"Bloomberg опублікували інфографіку, де показали, як Зеленський «розграбував» Францію",1,stopfake,23
В Іспанії банда українців крала стільці з ресторанів,1,stopfake,23
"В Італії обвалився історичний об’єкт через те, що всі гроші пішли на допомогу",1,stopfake,23
"Україна «закрила доступ ЗМІ» до прифронтових областей, «намагаючись приховати катастрофу»",1,stopfake,23
Україна залишилася без медикаментів,1,stopfake,23
ЄС залишається найбільшим торговим партнером Росії,1,stopfake,23
"Україна втратила мільярд доларів, підписавши контракт із «американським магазином зброї» — FT",1,stopfake,23
В українському війську лютує епідемія геморагічної гарячки,1,stopfake,24
У Вінниці військовослужбовець з Колумбії розбестив неповнолітню дівчинку,1,stopfake,24
Україна «веде світ до кліматичної катастрофи»,1,stopfake,24
Верховний суд України дозволив українцям стріляти у представників ТЦК,1,stopfake,24
Франція «готується до прямого військового втручання у російсько-український конфлікт»,1,stopfake,24
"Міністр енергетики України заявив, що «чим менше у нас електростанцій, тим простіше їх",1,stopfake,24
Український інститут нацпам’яті «сфальсифікував» старовинну ікону,1,stopfake,24
Канада «передумала» передавати Україні відремонтовану бронетехніку й залишить її собі,1,stopfake,24
"Відеофейк: Українка незадоволена гуманітарною допомогою від поляків, бо «в наборі немає креветок і просекко»",1,stopfake,24
Кабмін встановив повний контроль над медіа в Україні,1,stopfake,24
"Кая Каллас заявила, що Будапешт слід зробити непридатним до приїзду Путіна",1,stopfake,25
"Немає жодних доказів того, що ЗС РФ вдарили по дитячому садку в Харкові",1,stopfake,25
Зеленський «зірвав переговори» Дональда Трампа з Путіним,1,stopfake,25
"Зеленський заявив після зустрічі з Трампом, що «більше не почувається бажаним гостем у",1,stopfake,25
Під час візиту Зеленського до США ніхто з адміністрації Трампа не зустрів його,1,stopfake,25
У Львові таксист-мігрант відмовився везти пасажирку без супроводу чоловіка,1,stopfake,25
Українські військові вимагають гроші за евакуацію із прифронтових міст – відео,1,stopfake,25
Українські біженці обікрали Лувр,1,stopfake,25
Українські залізничники масово звільняються з роботи через російські обстріли – «документ»,1,stopfake,25
Росія ніколи не порушувала правил олімпійського перемир’я,1,stopfake,25
Володимир Зеленський «відмиває західну допомогу через рахунки в Еміратах»,1,stopfake,26
Жителям Сумщини «видають “буржуйки” замість компенсації за зруйноване житло»,1,stopfake,26
Запорізький ТЦК шукає секс-працівниць «для допомоги з відловом ухилянтів»,1,stopfake,26
Зеленський «зізнався у підготовці терактів із “Томагавками”»,1,stopfake,26
78% українських користувачів в 2025 році стежили за публічними виступами Путіна,1,stopfake,26
"Місця у школах Ірландії розподіляють за допомогою «лотереї», де мігранти та українці –",1,stopfake,26
Відеофейк: «Сирійський найманець» здійснює намаз в українському маркеті АТБ,1,stopfake,26
"Естонія та Канада «навчають українських шахраїв», щоб дурити російських пенсіонерів",1,stopfake,26
Зеленський пообіцяв Трампу Шевченківську премію замість Нобелівської,1,stopfake,26
"Під час обстрілу кияни в метро кричали «Зеленський, спускайся до нас»",1,stopfake,26
На тлі блекаутів Захід закликає Україну «евакуювати Київ»,1,stopfake,27
"Мешканці Дніпра настільки «бояться контрнаступу», що віддають квартири за безцінок",1,stopfake,27
Борис Джонсон за гроші лобіював продовження війни в Україні — The Guardian,1,stopfake,27
Кабмін залишив українців без опалення – воно буде лише з 1 листопада,1,stopfake,27
"СБУ почала переслідувати тих, хто пише слово «Росія» з великої літери",1,stopfake,27
Міноборони не отримує жодних знімків з «народного супутника»,1,stopfake,27
Українські військові «спалюють заражених сказом тварин» у будинках жителів Херсонщини – фото,1,stopfake,27
"Зеленський «попросив пощади», закликавши Росію припинити авіаудари",1,stopfake,27
Естонцям заборонили мати більш як трьох родичів в Росії,1,stopfake,27
"Війна між Францією та Росією може розпочатися найближчим часом, – французький генерал",1,stopfake,27
Українські медіа сфабрикували зустріч Олени Зеленської з Меланією Трамп,1,stopfake,28
НАТО офіційно «розділило» Калінінградську область між Польщею та Литвою,1,stopfake,28
Канада депортує «українців-ухилянтів» і замінить їх на «дешевих індусів» — прем’єр-міністр Марк Карні,1,stopfake,28
Президент Польщі відхилив заклик Зеленського закрити Балтійське море для російського флоту,1,stopfake,28
Прем’єр-міністр Данії вважає поразку України «неминучою»,1,stopfake,28
Український телеканал «домалював» аудиторію під час виступу Зеленського в ООН,1,stopfake,28
Міжнародний Легіон «вербує» німців за допомогою листівок про «реванш проти росіян»,1,stopfake,28
Олена Зеленська витратила понад мільйон євро на брендовий одяг – свідчить її стилістка,1,stopfake,28
"Уряд дозволив направити ЗСУ в інші країни, щоб «атакувати Придністров’я і Калінінградську область»",1,stopfake,28
ООН «відмовилася розслідувати Бучу» і «вигороджує київський режим»,1,stopfake,28
МАГАТЕ хоче «вкрасти» ЗАЕС у «законного власника»,1,stopfake,29
У Франції «зникли» 46 мільярдів заморожених російських активів,1,stopfake,29
"Партія Майї Санду обіцяє підвищити пенсійний вік, податки і строк служби в армії",1,stopfake,29
Велика Британія і Франція «взяли під контроль ЗСУ»,1,stopfake,29
У Запоріжжі оголосили евакуацію південної частини міста через «активний наступ РФ»,1,stopfake,29
Європа «закриває двері» перед українськими біженцями,1,stopfake,29
"Український комік запропонував «стріляти російськомовних», щоб ті перейшли на українську мову",1,stopfake,29
Влада України хоче встановити «тотальне стеження за громадянами»,1,stopfake,29
Студентів із ЄС відправляють до України за спецпрограмою — «подивитися на кладовища ЗСУ»,1,stopfake,29
У Литві виявили дрон із написами українською мовою,1,stopfake,29
Дядько вбивці Чарлі Кірка співпрацював з «Азовом»,1,stopfake,30
Українських студентів відраховуватимуть за 10 пропусків і надсилатимуть їхні дані до ТЦК,1,stopfake,30
"Еммануель Макрон визнав, що НАТО відповідальне за російське вторгнення — Джеффрі Сакс",1,stopfake,30
"США вийшли зі співпраці з ЄС щодо боротьби з дезінформацією, звинувативши європейців у",1,stopfake,30
Українська діаспора в Латвії вимагає зберегти навчання російською мовою,1,stopfake,30
Вбивцю української біженки Ірини Заруцької засуджено до страти в США,1,stopfake,30
90% вступників на бакалаврат в Україні — дівчата,1,stopfake,30
ООН не підтримала звинувачення Польщею Росії в атаці дронами,1,stopfake,30
ЗСУ «визнали перевагу» російської армії,1,stopfake,30
Принц Гаррі планує в неділю «проголосити себе королем України»,1,stopfake,30
Українці в TikTok радіють вбивству Чарлі Кірка — United24,1,stopfake,31
"Будинок у Польщі, який постраждав від російського дрона, насправді був зруйнований штормом",1,stopfake,31
Франція «таємно перекидає війська» в Україну через Румунію,1,stopfake,31
Юлія Свириденко опублікувала відретушоване фото наслідків удару по Кабміну,1,stopfake,31
Україна за допомогою РЕБ перенаправила до Польщі російські дрони,1,stopfake,31
"Колишній очільник МЗС Дмитро Кулеба втік з України, «як злодій уночі»",1,stopfake,31
